datetime,open,high,low,close,volume,oi
2025-01-01T00:00:00+0530,23637.65,23822.8,23562.8,23742.9,0,0
2025-01-02T00:00:00+0530,23783.0,24226.7,23751.55,24188.65,0,0
2025-01-03T00:00:00+0530,24196.4,24196.45,23976.0,24004.75,0,0
2025-01-06T00:00:00+0530,24045.8,24089.95,23551.9,23616.05,0,0
2025-01-07T00:00:00+0530,23679.9,23795.2,23637.8,23707.9,0,0
2025-01-08T00:00:00+0530,23746.65,23751.85,23496.15,23688.95,0,0
2025-01-09T00:00:00+0530,23674.75,23689.5,23503.05,23526.5,0,0
2025-01-10T00:00:00+0530,23551.9,23596.6,23344.35,23431.5,0,0
2025-01-13T00:00:00+0530,23195.4,23340.95,23047.25,23085.95,0,0
2025-01-14T00:00:00+0530,23165.9,23264.95,23134.15,23176.05,0,0
2025-01-15T00:00:00+0530,23250.45,23293.65,23146.45,23213.2,0,0
2025-01-16T00:00:00+0530,23377.25,23391.65,23272.05,23311.8,0,0
2025-01-17T00:00:00+0530,23277.1,23292.1,23100.35,23203.2,0,0
2025-01-20T00:00:00+0530,23290.4,23391.1,23170.65,23344.75,0,0
2025-01-21T00:00:00+0530,23421.65,23426.3,22976.85,23024.65,0,0
2025-01-22T00:00:00+0530,23099.15,23169.55,22981.3,23155.35,0,0
2025-01-23T00:00:00+0530,23128.3,23270.8,23090.65,23205.35,0,0
2025-01-24T00:00:00+0530,23183.9,23347.3,23050.0,23092.2,0,0
2025-01-27T00:00:00+0530,22940.15,23007.45,22786.9,22829.15,0,0
2025-01-28T00:00:00+0530,22960.45,23137.95,22857.65,22957.25,0,0
2025-01-29T00:00:00+0530,23026.75,23183.35,22976.5,23163.1,0,0
2025-01-30T00:00:00+0530,23169.5,23322.05,23139.2,23249.5,0,0
2025-01-31T00:00:00+0530,23296.75,23546.8,23277.4,23508.4,0,0
2025-02-01T00:00:00+0530,23528.6,23632.45,23318.3,23482.15,0,0
2025-02-03T00:00:00+0530,23319.35,23381.6,23222.0,23361.05,0,0
2025-02-04T00:00:00+0530,23509.9,23762.75,23423.15,23739.25,0,0
2025-02-05T00:00:00+0530,23801.75,23807.3,23680.45,23696.3,0,0
2025-02-06T00:00:00+0530,23761.95,23773.55,23556.25,23603.35,0,0
2025-02-07T00:00:00+0530,23649.5,23694.5,23443.2,23559.95,0,0
2025-02-10T00:00:00+0530,23543.8,23568.6,23316.3,23381.6,0,0
2025-02-11T00:00:00+0530,23383.55,23390.05,22986.65,23071.8,0,0
2025-02-12T00:00:00+0530,23050.8,23144.7,22798.35,23045.25,0,0
2025-02-13T00:00:00+0530,23055.75,23235.5,22992.2,23031.4,0,0
2025-02-14T00:00:00+0530,23096.45,23133.7,22774.85,22929.25,0,0
2025-02-17T00:00:00+0530,22809.9,22974.2,22725.45,22959.5,0,0
2025-02-18T00:00:00+0530,22963.65,22992.5,22801.5,22945.3,0,0
2025-02-19T00:00:00+0530,22847.25,23049.95,22814.85,22932.9,0,0
2025-02-20T00:00:00+0530,22821.1,22923.85,22812.75,22913.15,0,0
2025-02-21T00:00:00+0530,22857.2,22921.0,22720.3,22795.9,0,0
2025-02-24T00:00:00+0530,22609.35,22668.05,22518.8,22553.35,0,0
2025-02-25T00:00:00+0530,22516.45,22625.3,22513.9,22547.55,0,0
2025-02-27T00:00:00+0530,22568.95,22613.3,22508.4,22545.05,0,0
2025-02-28T00:00:00+0530,22433.4,22450.35,22104.85,22124.7,0,0
2025-03-03T00:00:00+0530,22194.55,22261.55,22004.7,22119.3,0,0
2025-03-04T00:00:00+0530,21974.45,22105.05,21964.6,22082.65,0,0
2025-03-05T00:00:00+0530,22073.05,22394.9,22067.8,22337.3,0,0
2025-03-06T00:00:00+0530,22476.35,22556.45,22245.85,22544.7,0,0
2025-03-07T00:00:00+0530,22508.65,22633.8,22464.75,22552.5,0,0
2025-03-10T00:00:00+0530,22521.85,22676.75,22429.05,22460.3,0,0
2025-03-11T00:00:00+0530,22345.95,22522.1,22314.7,22497.9,0,0
2025-03-12T00:00:00+0530,22536.35,22577.4,22329.55,22470.5,0,0
2025-03-13T00:00:00+0530,22541.5,22558.05,22377.35,22397.2,0,0
2025-03-17T00:00:00+0530,22353.15,22577.0,22353.15,22508.75,0,0
2025-03-18T00:00:00+0530,22662.25,22857.8,22599.2,22834.3,0,0
2025-03-19T00:00:00+0530,22874.95,22940.7,22807.95,22907.6,0,0
2025-03-20T00:00:00+0530,23036.6,23216.7,22973.95,23190.65,0,0
2025-03-21T00:00:00+0530,23168.25,23402.7,23132.8,23350.4,0,0
2025-03-24T00:00:00+0530,23515.4,23708.75,23433.5,23658.35,0,0
2025-03-25T00:00:00+0530,23751.5,23869.6,23601.4,23668.65,0,0
2025-03-26T00:00:00+0530,23700.95,23736.5,23451.7,23486.85,0,0
2025-03-27T00:00:00+0530,23433.95,23646.45,23412.2,23591.95,0,0
2025-03-28T00:00:00+0530,23600.4,23649.2,23450.2,23519.35,0,0
2025-04-01T00:00:00+0530,23341.1,23565.15,23136.4,23165.7,0,0
2025-04-02T00:00:00+0530,23192.6,23350.0,23158.45,23332.35,0,0
2025-04-03T00:00:00+0530,23150.3,23306.5,23145.8,23250.1,0,0
2025-04-04T00:00:00+0530,23190.4,23214.7,22857.45,22904.45,0,0
2025-04-07T00:00:00+0530,21758.4,22254.0,21743.65,22161.6,0,0
2025-04-08T00:00:00+0530,22446.75,22697.2,22270.85,22535.85,0,0
